172.16.159.158 - - [17/Jan/2020:17:21:04 +0800] "GET /user HTTP/1.1" 500 1426 "-" "PostmanRuntime/7.21.0"
172.16.159.158 - - [17/Jan/2020:17:21:52 +0800] "GET /user/1 HTTP/1.1" 200 118 "-" "PostmanRuntime/7.21.0"
172.16.159.158 - - [17/Jan/2020:17:22:03 +0800] "GET /user HTTP/1.1" 500 1426 "-" "PostmanRuntime/7.21.0"
172.16.159.158 - - [17/Jan/2020:17:22:49 +0800] "GET /user/ HTTP/1.1" 301 5 "-" "PostmanRuntime/7.21.0"
172.16.159.158 - - [17/Jan/2020:17:22:49 +0800] "GET /user HTTP/1.1" 500 1426 "http://172.16.90.230:9090/user/" "PostmanRuntime/7.21.0"
172.16.159.158 - - [17/Jan/2020:17:22:53 +0800] "GET /user/1 HTTP/1.1" 200 118 "-" "PostmanRuntime/7.21.0"
172.16.159.158 - - [17/Jan/2020:17:22:58 +0800] "GET /user/ HTTP/1.1" 301 5 "-" "PostmanRuntime/7.21.0"
172.16.159.158 - - [17/Jan/2020:17:22:58 +0800] "GET /user HTTP/1.1" 500 1426 "http://172.16.90.230:9090/user/" "PostmanRuntime/7.21.0"
172.16.159.158 - - [17/Jan/2020:17:23:02 +0800] "GET /user HTTP/1.1" 500 1426 "-" "PostmanRuntime/7.21.0"
172.16.159.158 - - [17/Jan/2020:17:25:13 +0800] "GET /user/ HTTP/1.1" 301 5 "-" "PostmanRuntime/7.21.0"
172.16.159.158 - - [17/Jan/2020:17:25:13 +0800] "GET /user HTTP/1.1" 500 1426 "http://172.16.90.230:9090/user/" "PostmanRuntime/7.21.0"
172.16.159.158 - - [17/Jan/2020:17:25:14 +0800] "GET /user/ HTTP/1.1" 301 5 "-" "PostmanRuntime/7.21.0"
172.16.159.158 - - [17/Jan/2020:17:25:14 +0800] "GET /user HTTP/1.1" 500 1426 "http://172.16.90.230:9090/user/" "PostmanRuntime/7.21.0"
172.16.159.158 - - [17/Jan/2020:17:25:17 +0800] "GET /user HTTP/1.1" 500 1426 "-" "PostmanRuntime/7.21.0"
172.16.159.158 - - [17/Jan/2020:17:25:23 +0800] "GET /user/1 HTTP/1.1" 200 118 "-" "PostmanRuntime/7.21.0"
172.16.159.158 - - [17/Jan/2020:17:25:56 +0800] "GET /user/1 HTTP/1.1" 200 118 "-" "PostmanRuntime/7.21.0"
172.16.159.158 - - [17/Jan/2020:17:26:00 +0800] "GET /user HTTP/1.1" 500 1426 "-" "PostmanRuntime/7.21.0"
172.16.159.158 - - [17/Jan/2020:17:28:02 +0800] "GET /user HTTP/1.1" 500 1426 "-" "PostmanRuntime/7.21.0"
172.16.159.158 - - [17/Jan/2020:17:28:05 +0800] "GET /user/ HTTP/1.1" 200 120 "-" "PostmanRuntime/7.21.0"
172.16.159.158 - - [17/Jan/2020:17:28:10 +0800] "GET /user/1 HTTP/1.1" 200 118 "-" "PostmanRuntime/7.21.0"
172.16.159.158 - - [17/Jan/2020:17:28:13 +0800] "GET /user/ HTTP/1.1" 200 120 "-" "PostmanRuntime/7.21.0"
172.16.159.158 - - [17/Jan/2020:17:38:19 +0800] "GET /user/ HTTP/1.1" 200 120 "-" "PostmanRuntime/7.21.0"
